Angle(Degrees)	Distance(m)
0				250
4				200
8				200
12				200
16				200
20				200
24				250
28				250
32				250
36				200
40				200
44				200
48				250
52				250
56				250
60				200
64				200
68				200
72				200
76				200
80				250
84				250
88				250
92				250
96				050
100				050
104				050
108				050
112				050
116				050
120				050
124				050
128				050
132				050
136				250
140				250
144				250
148				250
152				250
156				150
160				150
164				150
168				150
172				150
176				150
180				250
